== Sampling period: 500 us
== Test mode: periodic user-mode task
== All results in microseconds
warming up...
RTT|  00:00:01  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.235|     66.066|     85.440|       0|     0|      1.683|     98.787
RTD|      2.276|     64.228|     89.216|       0|     0|      1.683|     98.787
RTD|      2.230|     65.873|     84.399|       0|     0|      1.683|     98.787
RTD|      2.899|     66.503|     87.605|       0|     0|      1.683|     98.787
RTD|      2.761|     64.902|     86.648|       0|     0|      1.683|     98.787
RTD|      2.496|     66.051|     89.727|       0|     0|      1.683|     98.787
RTD|      2.220|     65.195|     87.890|       0|     0|      1.683|     98.787
RTD|      2.230|     64.677|     87.178|       0|     0|      1.683|     98.787
RTD|      2.248|     64.400|     87.383|       0|     0|      1.683|     98.787
RTD|      2.370|     64.402|     87.594|       0|     0|      1.683|     98.787
RTD|      2.211|     53.675|     85.109|       0|     0|      1.683|     98.787
RTT|  00:05:37  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.567|     66.763|     86.721|       0|     0|      1.683|     98.787
RTD|      2.308|     66.395|     82.702|       0|     0|      1.683|     98.787
RTD|      3.357|     66.562|     84.094|       0|     0|      1.683|     98.787
RTD|      2.334|     66.531|     84.387|       0|     0|      1.683|     98.787
RTD|      2.266|     64.030|     86.638|       0|     0|      1.683|     98.787
RTD|      2.266|     63.453|     82.178|       0|     0|      1.683|     98.787
RTD|      2.276|     63.944|     84.007|       0|     0|      1.683|     98.787
RTD|      2.251|     63.891|     81.938|       0|     0|      1.683|     98.787
RTD|      2.273|     64.342|     82.824|       0|     0|      1.683|     98.787
RTD|      2.289|     63.480|     85.998|       0|     0|      1.683|     98.787
RTD|      2.275|     65.977|     87.654|       0|     0|      1.683|     98.787
RTD|      3.313|     64.745|     79.828|       0|     0|      1.683|     98.787
RTD|      2.240|     61.219|     84.337|       0|     0|      1.683|     98.787
RTD|      2.185|     53.857|     84.509|       0|     0|      1.683|     98.787
